Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
248	33082.64722222222	21468.8775	0.0	0.0	3252.6041666666665	0.0
249	33066.66916666667	21249.254444444443	0.0	0.0	3240.4088888888887	0.0
250	33133.91444444445	21803.7275	0.0	0.0	3238.3569444444443	0.0
251	32965.848333333335	21621.403611111113	0.0	0.0	3265.5247222222224	0.0
252	33150.325277777774	21472.045555555556	0.0	0.0	3278.5608333333334	0.0
253	32969.51222222222	21422.280555555557	0.0	0.0	3179.2308333333335	0.0
254	33064.23055555556	21649.86111111111	0.0	0.0	3239.6066666666666	0.0
255	33010.947222222225	21813.83027777778	0.0	0.0	3237.5055555555555	0.0
256	33144.915	21663.70611111111	0.0	0.0	3245.41	0.0
257	32897.958333333336	21263.373888888887	0.0	0.0	3202.3955555555553	0.0
258	33058.68472222222	21550.854166666668	0.0	0.0	3206.2055555555557	0.0
259	32878.55333333334	21409.120833333334	0.0	0.0	3235.5955555555556	0.0
260	32953.32361111111	21017.490833333333	0.0	0.0	3271.7986111111113	0.0
261	32836.34222222222	21011.91972222222	0.0	0.0	3291.450277777778	0.0
262	32979.92555555556	20909.533333333333	0.0	0.0	3260.123611111111	0.0
263	32835.735	20671.605	0.0	0.0	3242.8016666666667	0.0
264	32957.95277777778	20913.545	0.0	0.0	3264.7744444444443	0.0
265	32923.54138888889	20530.905277777776	0.0	0.0	3246.7863888888887	0.0
266	32883.02972222222	20625.101944444443	0.0	0.0	3241.5555555555557	0.0
267	32868.91638888889	20780.66361111111	0.0	0.0	3219.7444444444445	0.0
268	33022.29	20606.68833333333	0.0	0.0	3225.13	0.0
269	32833.599444444444	20528.215555555555	0.0	0.0	3194.063611111111	0.0
270	32903.11444444444	20683.335833333334	0.0	0.0	3227.5138888888887	0.0
271	32851.56527777778	21039.558333333334	0.0	0.0	3185.506388888889	0.0
272	32823.93583333334	20492.525833333333	0.0	0.0	3166.476388888889	0.0
273	32775.61777777778	20625.980277777777	0.0	0.0	3227.7463888888888	0.0
274	32794.228055555555	20877.06388888889	0.0	0.0	3191.356388888889	0.0
275	32733.492222222223	20335.833055555555	0.0	0.0	3184.768888888889	0.0
276	32754.156666666666	20321.28638888889	0.0	0.0	3177.8925	0.0
277	32771.4775	20545.530833333334	0.0	0.0	3109.68	0.0
278	32854.199166666665	20737.465277777777	0.0	0.0	3138.8811111111113	0.0
279	32700.356111111112	20309.136388888888	0.0	0.0	3149.8902777777776	0.0
280	32734.53138888889	20724.327222222222	0.0	0.0	3148.2380555555555	0.0
281	32737.020277777778	20592.42111111111	0.0	0.0	3094.4938888888887	0.0
282	32630.823055555556	20437.219166666666	0.0	0.0	3169.1402777777776	0.0
283	32723.383333333335	20508.765	0.0	0.0	3131.2083333333335	0.0
284	32548.664722222224	20654.686944444446	0.0	0.0	3141.339722222222	0.0
285	32721.006666666668	20534.294444444444	0.0	0.0	3133.918611111111	0.0
286	32766.6125	20410.235833333332	0.0	0.0	3126.2819444444444	0.0
287	32685.56027777778	20421.959722222222	0.0	0.0	3133.1027777777776	0.0
288	32771.90944444444	20273.329444444444	0.0	0.0	3166.284166666667	0.0
289	32671.585277777776	20289.06	0.0	0.0	3110.2052777777776	0.0
290	32662.843333333334	20259.08611111111	0.0	0.0	3118.3352777777777	0.0
291	32800.45888888889	20603.155555555557	0.0	0.0	3113.0852777777777	0.0
292	32562.664722222224	20016.402222222223	0.0	0.0	3108.818333333333	0.0
293	32811.60138888889	20250.43222222222	0.0	0.0	3159.713333333333	0.0
294	32672.385555555556	20242.405555555557	0.0	0.0	3130.947777777778	0.0
295	32800.5475	20297.46222222222	0.0	0.0	3112.8655555555556	0.0
296	32543.93472222222	20080.492777777778	0.0	0.0	3117.5025	0.0
297	32780.811944444446	20115.66138888889	0.0	0.0	3124.388611111111	0.0
298	32643.407222222224	19863.295	0.0	0.0	2996.148611111111	0.0
299	32803.908055555556	20109.178888888888	0.0	0.0	3142.665	0.0
300	32420.43888888889	20796.530833333334	0.0	0.0	3133.4425	0.0
301	32755.72388888889	20327.81027777778	0.0	0.0	3140.491388888889	0.0
302	32639.907222222224	20189.47472222222	0.0	0.0	3121.5797222222222	0.0
303	32565.966666666667	20119.13861111111	0.0	0.0	3139.0983333333334	0.0
304	32610.81472222222	20460.49777777778	0.0	0.0	3114.0525	0.0
305	32554.2675	20445.2825	0.0	0.0	3096.2658333333334	0.0
306	32631.080555555556	20021.19027777778	0.0	0.0	3128.322777777778	0.0
307	32503.83027777778	20296.280277777776	0.0	0.0	3074.051111111111	0.0
308	32428.11527777778	20454.51027777778	0.0	0.0	3137.9594444444447	0.0
309	32710.045833333334	20519.820555555554	0.0	0.0	3119.798888888889	0.0
