ITERATION	avg. Average Leg distance	avg. Average Trip distance
264	9281.565808700956	29262.119680307784	
265	9296.927048964571	29320.533962808182	
266	9275.415294952249	29248.13134615665	
267	9328.16971783173	29411.45830054953	
268	9350.67225960854	29487.674894229356	
269	9287.706358474174	29297.336644440038	
270	9340.906238862905	29450.757323337144	
271	9302.475884749372	29334.49314784141	
272	9348.224982223497	29479.728548604435	
273	9354.817782089041	29503.176437965118	
274	9321.365308799686	29397.453562541785	
275	9309.618725540797	29356.689772282	
276	9344.200276824333	29492.402948544113	
277	9395.566865644952	29641.58755347048	
278	9284.712091347004	29294.999900842275	
279	9348.275273493997	29493.31615728294	
280	9331.78191848571	29436.009832621996	
281	9360.325327341288	29532.007867776778	
282	9346.70544601398	29487.629560396523	
283	9360.348906214824	29529.960295865665	
284	9368.666193740673	29551.31821338034	
285	9341.447611857973	29473.298276813548	
286	9393.563758392658	29641.876615830417	
287	9373.4260304823	29568.86212420027	
288	9397.822814064699	29670.69464376466	
289	9386.33836499929	29636.724492030484	
290	9412.551922462811	29723.500062513314	
291	9367.50337923466	29591.632207285584	
292	9359.994374106058	29561.968199224062	
293	9360.202030665621	29567.055079475504	
294	9367.729877198584	29588.10004611806	
295	9331.340157064838	29480.759576344568	
296	9416.88264240972	29737.356396038227	
297	9332.230446473377	29473.892086989497	
298	9371.21006750025	29592.501937467645	
299	9398.40680125842	29700.53866496277	
300	9403.520853673064	29698.584253571556	
301	9405.338996329569	29706.33126062837	
302	9353.935939314253	29527.66507135492	
303	9368.081759235683	29596.33828179853	
304	9366.431153152223	29586.94276314624	
305	9392.506058027795	29664.10018584543	
306	9370.907668955397	29594.021034869576	
307	9385.181423767035	29650.319484613876	
308	9331.563077619532	29453.91554751339	
309	9412.399211842654	29714.697767057794	
310	9350.785106336363	29520.143198116944	
311	9387.103454647362	29650.83557287296	
312	9331.74596973108	29463.85358670412	
313	9381.889911486405	29624.50951677382	
314	9295.943984846543	29343.931547727494	
315	9366.227209616725	29568.081512038978	
