Iteration	pt	walk
517	1916475.412	42694.12932389302
518	1907334.056	42683.512092044206
519	1913192.901	42641.00094155571
520	1911900.411	42629.41929595356
521	1919664.048	42680.31910477977
522	1905599.219	42721.8865731052
523	1917359.715	42656.49461306557
524	1908888.596	42685.67751317526
525	1919498.14	42583.71515820062
526	1915320.224	42623.04136632857
527	1918910.231	42709.43211568027
528	1905326.713	42676.3823062768
529	1915844.714	42596.79964370158
530	1914826.755	42612.89343505701
531	1911970.531	42592.82630389145
532	1923913.115	42648.24078794194
533	1914278.714	42643.929249694964
534	1921638.256	42670.70278113869
535	1906198.482	42653.832314192805
536	1918572.693	42597.76773441017
537	1909481.707	42604.97632667668
538	1912069.837	42616.76869141212
539	1909781.029	42634.04456997344
540	1920605.628	42584.32025808355
541	1908443.958	42693.398610243356
542	1922393.696	42634.66437767743
543	1907486.065	42599.75417907043
544	1917199.153	42581.31608381868
545	1915096.892	42636.81417174862
546	1912738.597	42620.88697606331
547	1914819.147	42636.565628019634
548	1923540.015	42613.04481456979
549	1913911.223	42647.95823237678
550	1910484.095	42718.85668721269
551	1915438.817	42682.757478185325
552	1920217.487	42629.21684996961
553	1915443.005	42622.078586859105
554	1919131.8	42652.44961948061
555	1916723.541	42646.27268120523
556	1922110.047	42612.54147509714
557	1919294.631	42611.94372912474
558	1918974.703	42639.560792553406
559	1916539.52	42632.84999726744
560	1924313.704	42608.228098372536
561	1918732.758	42643.78157419667
562	1916357.358	42600.4868051097
563	1914518.069	42683.68458699052
564	1918472.732	42626.15925110836
565	1910525.604	42610.38708483188
566	1915582.821	42625.37560545068
567	1917816.337	42606.40704901134
568	1923125.349	42614.138519045104
569	1918887.7	42652.110528864156
570	1924876.511	42657.27274329036
571	1917546.706	42768.49486575214
572	1928315.372	42589.25893088584
573	1921378.644	42629.218688447254
574	1923956.751	42692.36552867709
575	1921371.423	42763.07307673116
576	1927880.401	42628.465913066
577	1918557.39	42616.76041826278
578	1925813.531	42701.75146512005
579	1916724.532	42646.68138593266
580	1926411.308	42649.09700661327
581	1915590.67	42659.852768425015
582	1923382.507	42669.12499435307
583	1912933.695	42637.94832273182
584	1921656.807	42562.780706048085
585	1910987.0	42638.94650028231
586	1914194.478	42707.17049642459
587	1912840.302	42692.04203806129
588	1923415.335	42598.62134034842
589	1908455.508	42606.099446794105
590	1923122.634	42644.38391636315
591	1914951.149	42643.309441990976
